"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","data","hasCabin","segment_age","title","FamilySize"
1,"0",3,"male",22,1,0,"A/5 21171",7.25,"","S","train","0","jove","Mr",2
2,"1",1,"female",38,1,0,"PC 17599",71.2833,"C85","C","train","1","adult","Mrs",2
3,"1",3,"female",26,0,0,"STON/O2. 3101282",7.925,"","S","train","0","jove","Miss",1
4,"1",1,"female",35,1,0,"113803",53.1,"C123","S","train","1","adult","Mrs",2
5,"0",3,"male",35,0,0,"373450",8.05,"","S","train","0","adult","Mr",1
6,"0",3,"male",28,0,0,"330877",8.4583,"","Q","train","0","jove","Mr",1
7,"0",1,"male",54,0,0,"17463",51.8625,"E46","S","train","1","gran","Mr",1
8,"0",3,"male",2,3,1,"349909",21.075,"","S","train","0","nen","Master",5
9,"1",3,"female",27,0,2,"347742",11.1333,"","S","train","0","jove","Mrs",3
10,"1",2,"female",14,1,0,"237736",30.0708,"","C","train","0","nen","Mrs",2
11,"1",3,"female",4,1,1,"PP 9549",16.7,"G6","S","train","1","nen","Miss",3
12,"1",1,"female",58,0,0,"113783",26.55,"C103","S","train","1","gran","Miss",1
13,"0",3,"male",20,0,0,"A/5. 2151",8.05,"","S","train","0","jove","Mr",1
14,"0",3,"male",39,1,5,"347082",31.275,"","S","train","0","adult","Mr",7
15,"0",3,"female",14,0,0,"350406",7.8542,"","S","train","0","nen","Miss",1
16,"1",2,"female",55,0,0,"248706",16,"","S","train","0","gran","Mrs",1
17,"0",3,"male",2,4,1,"382652",29.125,"","Q","train","0","nen","Master",6
18,"1",2,"male",28,0,0,"244373",13,"","S","train","0","jove","Mr",1
19,"0",3,"female",31,1,0,"345763",18,"","S","train","0","adult","Mrs",2
20,"1",3,"female",28,0,0,"2649",7.225,"","C","train","0","jove","Mrs",1
21,"0",2,"male",35,0,0,"239865",26,"","S","train","0","adult","Mr",1
22,"1",2,"male",34,0,0,"248698",13,"D56","S","train","1","adult","Mr",1
23,"1",3,"female",15,0,0,"330923",8.0292,"","Q","train","0","nen","Miss",1
24,"1",1,"male",28,0,0,"113788",35.5,"A6","S","train","1","jove","Mr",1
25,"0",3,"female",8,3,1,"349909",21.075,"","S","train","0","nen","Miss",5
26,"1",3,"female",38,1,5,"347077",31.3875,"","S","train","0","adult","Mrs",7
27,"0",3,"male",28,0,0,"2631",7.225,"","C","train","0","jove","Mr",1
28,"0",1,"male",19,3,2,"19950",263,"C23 C25 C27","S","train","1","nen","Mr",6
29,"1",3,"female",28,0,0,"330959",7.8792,"","Q","train","0","jove","Miss",1
30,"0",3,"male",28,0,0,"349216",7.8958,"","S","train","0","jove","Mr",1
31,"0",1,"male",40,0,0,"PC 17601",27.7208,"","C","train","0","adult-gran","Mr",1
32,"1",1,"female",28,1,0,"PC 17569",146.5208,"B78","C","train","1","jove","Mrs",2
33,"1",3,"female",28,0,0,"335677",7.75,"","Q","train","0","jove","Miss",1
34,"0",2,"male",66,0,0,"C.A. 24579",10.5,"","S","train","0","gran","Mr",1
35,"0",1,"male",28,1,0,"PC 17604",82.1708,"","C","train","0","jove","Mr",2
36,"0",1,"male",42,1,0,"113789",52,"","S","train","0","adult-gran","Mr",2
37,"1",3,"male",28,0,0,"2677",7.2292,"","C","train","0","jove","Mr",1
38,"0",3,"male",21,0,0,"A./5. 2152",8.05,"","S","train","0","jove","Mr",1
39,"0",3,"female",18,2,0,"345764",18,"","S","train","0","nen","Miss",3
40,"1",3,"female",14,1,0,"2651",11.2417,"","C","train","0","nen","Miss",2
